kappa,rho,center_up_to_down,center_down_to_up,end_up_to_down,end_down_to_up,cost,direct_exp_weight,feedback_adj_rate,forgetting_factor,total_rewards,action_rewards,opinion_rewards,sp0_social_trust,sp1_social_trust,sp2_social_trust,sp0_request_rate,sp1_request_rate,sp2_request_rate,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,sp0_availability,sp1_availability,sp2_availability
3,0.026059305,"[0.9441669881902635, 0.9441669881902635, 0.9441669881902635]","[0.5501631735265256, 0.5501631735265256, 0.5501631735265256]","[0.6579148794524372, 0.6579148794524372, 0.6579148794524372]","[0.5937518911249936, 0.5937518911249936, 0.5937518911249936]","[0.6149620646238327, 0.6149620646238327, 0.6149620646238327]",0.540932318,0.294429277,0.521534133,49284.99471,1764.727242,47520.26747,0.501533228,0.494400372,0.539356536,69.7312466,15.39300308,14.67614952,0.29594266,48.80579568,0.052934132,6.18588278,0.051722011,44.40812194,0.216200363,0.216521902,0.215932172
3,0.49087343,"[0.45107816621661184, 0.45107816621661184, 0.45107816621661184]","[0.2300461541861296, 0.2300461541861296, 0.2300461541861296]","[0.4368489498086274, 0.4368489498086274, 0.4368489498086274]","[0.3770904440432787, 0.3770904440432787, 0.3770904440432787]","[0.4009766370989382, 0.4009766370989382, 0.4009766370989382]",0.696015798,0.589213825,0.60842309,-61352.95272,-17700.1144,-43652.83832,0.363020946,0.47230489,0.441512202,69.72769007,15.3938777,14.67883143,0.297045908,48.80307022,0.053097441,6.187370713,0.051584105,44.40823081,0.143354455,0.143059154,0.14348024
3,0.722939803,"[0.13268306037411093, 0.13268306037411093, 0.13268306037411093]","[0.13170470306649804, 0.13170470306649804, 0.13170470306649804]","[0.28484718484804034, 0.28484718484804034, 0.28484718484804034]","[0.2447458745725453, 0.2447458745725453, 0.2447458745725453]","[0.5702484152838587, 0.5702484152838587, 0.5702484152838587]",0.474021825,0.358948879,0.474551386,40979.72521,-1391.073197,42370.7984,0.507178064,0.495954377,0.540241857,69.73133733,15.39307204,14.67598984,0.295935402,48.80585375,0.052832517,6.185929958,0.051511522,44.40833606,0.208640573,0.210570132,0.210626638
2,0.41640179,"[0.0551639498770237, 0.0551639498770237, 0.0551639498770237]","[0.6514826060645282, 0.6514826060645282, 0.6514826060645282]","[0.7200732329674066, 0.7200732329674066, 0.7200732329674066]","[0.692238945569843, 0.692238945569843, 0.692238945569843]","[0.5361767534539104, 0.5361767534539104, 0.5361767534539104]",0.852443237,0.595027392,0.810655562,-17082.72126,24294.75578,-41377.47705,0.455786895,0.491313934,0.469911025,69.72989657,15.39349301,14.67700962,0.29626928,48.80477953,0.053057521,6.186332789,0.05168209,44.40827799,0.459251316,0.45975108,0.459594774
8,0.051212062,"[0.6568144253082573, 0.6568144253082573, 0.6568144253082573]","[0.7944243341498077, 0.7944243341498077, 0.7944243341498077]","[0.8191903790459036, 0.8191903790459036, 0.8191903790459036]","[0.44456728048622607, 0.44456728048622607, 0.44456728048622607]","[0.16843618774786592, 0.16843618774786592, 0.16843618774786592]",0.505586304,0.546454641,0.593991289,-72142.59149,-21242.64738,-50899.94411,0.374574335,0.477892431,0.422370501,69.72767556,15.39417166,14.67855199,0.296984213,48.80301579,0.053137362,6.187265469,0.051620396,44.40837598,0.224016621,0.224084449,0.223997605
4,0.987684775,"[0.535474107041955, 0.535474107041955, 0.535474107041955]","[0.32297327103093265, 0.32297327103093265, 0.32297327103093265]","[0.73212199004367, 0.73212199004367, 0.73212199004367]","[0.4882279440946877, 0.4882279440946877, 0.4882279440946877]","[0.8623893288522959, 0.8623893288522959, 0.8623893288522959]",0.820137992,0.952125059,0.243220242,-38027.71685,9622.131453,-47649.8483,0.407351546,0.480368587,0.468193758,69.72879332,15.39388496,14.67772092,0.296617674,48.80405371,0.052955906,6.186953366,0.051631283,44.40818726,0.167443948,0.167491236,0.168360806
5,0.593128651,"[0.5229330088198185, 0.5229330088198185, 0.5229330088198185]","[0.5721079925633967, 0.5721079925633967, 0.5721079925633967]","[0.37671681728214024, 0.37671681728214024, 0.37671681728214024]","[0.5355358226411044, 0.5355358226411044, 0.5355358226411044]","[0.6461877126805484, 0.6461877126805484, 0.6461877126805484]",0.86512268,0.793259401,0.6789919,-35943.62115,11852.47466,-47796.09581,0.401917816,0.479427883,0.463296381,69.72856106,15.39386681,14.67797133,0.296701143,48.80381419,0.053217202,6.186804573,0.051678461,44.40818363,0.292935583,0.293078534,0.292579858
8,0.586638978,"[0.8409102212265134, 0.8409102212265134, 0.8409102212265134]","[0.8182972547784447, 0.8182972547784447, 0.8182972547784447]","[0.15514998449012637, 0.15514998449012637, 0.15514998449012637]","[0.8472269500233233, 0.8472269500233233, 0.8472269500233233]","[0.07634641665965318, 0.07634641665965318, 0.07634641665965318]",0.824042882,0.051946202,0.698767565,45738.23715,-4863.623131,50601.86028,0.499539931,0.49637035,0.520043814,69.73111595,15.3930176,14.67626565,0.296000726,48.80557431,0.052897841,6.18604609,0.051685719,44.40819452,0.417676066,0.417029831,0.418427908
5,0.593128651,"[0.5229330088198185, 0.5229330088198185, 0.5229330088198185]","[0.5721079925633967, 0.5721079925633967, 0.5721079925633967]","[0.37671681728214024, 0.37671681728214024, 0.37671681728214024]","[0.7295078083872795, 0.7295078083872795, 0.7295078083872795]","[0.6461877126805484, 0.6461877126805484, 0.6461877126805484]",0.86512268,0.793259401,0.6789919,-28215.40442,19581.29019,-47796.69461,0.427746071,0.485204597,0.468849386,69.72927236,15.39363455,14.67749229,0.296501542,48.80436944,0.052966794,6.18677554,0.051526039,44.40825984,0.363162947,0.363432444,0.362866703
7,0.949288729,"[0.6021475281193852, 0.6021475281193852, 0.6021475281193852]","[0.1357756718620658, 0.1357756718620658, 0.1357756718620658]","[0.39640974573791027, 0.39640974573791027, 0.39640974573791027]","[0.8081252592243254, 0.8081252592243254, 0.8081252592243254]","[0.7994210780039429, 0.7994210780039429, 0.7994210780039429]",0.349627517,0.363142563,0.539430377,52378.56068,3102.516766,49276.04391,0.537930038,0.499990552,0.566683849,69.73203774,15.39273816,14.6756233,0.295761205,48.80631464,0.052952277,6.185643259,0.051453457,44.40827436,0.138598766,0.137850154,0.14059931
6,0.560876501,"[0.9786607436835766, 0.9786607436835766, 0.9786607436835766]","[0.05688014533370733, 0.05688014533370733, 0.05688014533370733]","[0.5352672481164337, 0.5352672481164337, 0.5352672481164337]","[0.39513525322079657, 0.39513525322079657, 0.39513525322079657]","[0.29092800177633765, 0.29092800177633765, 0.29092800177633765]",0.684772377,0.75659653,0.881705137,-86222.36373,-36752.57531,-49469.78842,0.237899245,0.446317018,0.386501304,69.7225186,15.39582653,14.68205407,0.298330612,48.7996879,0.053456723,6.188484848,0.052320813,44.40811831,0.02359354,0.023567338,0.023914244
6,0.434490238,"[0.2735230327397585, 0.2735230327397585, 0.2735230327397585]","[0.5898866358213126, 0.5898866358213126, 0.5898866358213126]","[0.11357267299667, 0.11357267299667, 0.11357267299667]","[0.58997090049088, 0.58997090049088, 0.58997090049088]","[0.18817136490717531, 0.18817136490717531, 0.18817136490717531]",0.365259463,0.946341679,0.47960256,-37895.22442,11827.51411,-49722.73852,0.423852578,0.489547844,0.42887722,69.72887679,15.39387044,14.67765197,0.296614045,48.80393758,0.052886953,6.186753765,0.051827255,44.4083796,0.515166794,0.514781746,0.514535583
8,0.138281347,"[0.9840855730511248, 0.9840855730511248, 0.9840855730511248]","[0.6547227621823549, 0.6547227621823549, 0.6547227621823549]","[0.2251704018935561, 0.2251704018935561, 0.2251704018935561]","[0.6285279855132103, 0.6285279855132103, 0.6285279855132103]","[0.44982298361137507, 0.44982298361137507, 0.44982298361137507]",0.489528914,0.942161109,0.537279531,-54156.53001,-3098.334399,-51058.19561,0.387139216,0.480439789,0.427403529,69.72803847,15.39405553,14.67830521,0.296828162,48.80345491,0.052930503,6.187225549,0.051486119,44.40847396,0.252262675,0.252301107,0.252709998
5,0.474518185,"[0.24020499505102635, 0.24020499505102635, 0.24020499505102635]","[0.046637451425194744, 0.046637451425194744, 0.046637451425194744]","[0.7984079296328127, 0.7984079296328127, 0.7984079296328127]","[0.06206722466275096, 0.06206722466275096, 0.06206722466275096]","[0.7520634191855788, 0.7520634191855788, 0.7520634191855788]",0.208706725,0.970929276,0.223893593,-61069.77378,-13192.38057,-47877.39321,0.400099663,0.484419327,0.42985245,69.72846307,15.39394302,14.6779931,0.29667211,48.8035783,0.053032118,6.18685538,0.051856287,44.40840501,0.013776375,0.013908111,0.013651678
3,0.142380187,"[0.1283977558463812, 0.1283977558463812, 0.1283977558463812]","[0.19733071863651278, 0.19733071863651278, 0.19733071863651278]","[0.0835008006170392, 0.0835008006170392, 0.0835008006170392]","[0.8228887715935707, 0.8228887715935707, 0.8228887715935707]","[0.062032070346176624, 0.062032070346176624, 0.062032070346176624]",0.66931271,0.690363865,0.965932581,-37985.9178,8201.71893,-46187.63673,0.415850338,0.483764539,0.404344691,69.72799855,15.39418254,14.67821811,0.296643077,48.80402105,0.053101071,6.186967882,0.051671203,44.40799492,0.543734712,0.541597895,0.543863655
5,0.120102783,"[0.641696673668921, 0.641696673668921, 0.641696673668921]","[0.513390401210636, 0.513390401210636, 0.513390401210636]","[0.9772205694392323, 0.9772205694392323, 0.9772205694392323]","[0.1820840413682163, 0.1820840413682163, 0.1820840413682163]","[0.8828111117891967, 0.8828111117891967, 0.8828111117891967]",0.158509692,0.090495306,0.545915754,49199.03717,893.5840742,48305.45309,0.583716286,0.507804211,0.593590922,69.73274179,15.39264017,14.67501724,0.295554346,48.80677917,0.052890582,6.185291236,0.051511522,44.40837235,0.078079114,0.078255779,0.078137362
3,0.359210168,"[0.5988617609255016, 0.5988617609255016, 0.5988617609255016]","[0.5174489135295153, 0.5174489135295153, 0.5174489135295153]","[0.8290364407747984, 0.8290364407747984, 0.8290364407747984]","[0.6536501023732125, 0.6536501023732125, 0.6536501023732125]","[0.9505458250455558, 0.9505458250455558, 0.9505458250455558]",0.583255156,0.426196832,0.868519183,41186.39135,23924.74664,17261.64471,0.408387995,0.491273413,0.556180148,69.72902559,15.39393576,14.67743785,0.296432589,48.80287788,0.052945019,6.186768282,0.051526039,44.40984939,0.254863582,0.25401575,0.254613391
4,0.987684775,"[0.535474107041955, 0.535474107041955, 0.535474107041955]","[0.32297327103093265, 0.32297327103093265, 0.32297327103093265]","[0.73212199004367, 0.73212199004367, 0.73212199004367]","[0.9320012043043971, 0.9320012043043971, 0.9320012043043971]","[0.8623893288522959, 0.8623893288522959, 0.8623893288522959]",0.820137992,0.952125059,0.243220242,-26944.13732,20705.91058,-47650.0479,0.430274916,0.48543863,0.473060579,69.72924696,15.3938523,14.67729995,0.296465251,48.80438396,0.052923244,6.18669207,0.051624025,44.40831065,0.26815685,0.268107276,0.269272147
2,0.26038513,"[0.36718994729220866, 0.36718994729220866, 0.36718994729220866]","[0.756751608774066, 0.756751608774066, 0.756751608774066]","[0.3245250296778977, 0.3245250296778977, 0.3245250296778977]","[0.3856603640131652, 0.3856603640131652, 0.3856603640131652]","[0.8175560725107789, 0.8175560725107789, 0.8175560725107789]",0.133087537,0.895979275,0.745330465,-21666.13666,23916.02701,-45582.16367,0.33910043,0.476442813,0.360124064,69.72585375,15.39486119,14.67968427,0.297325349,48.80207222,0.053155507,6.187744511,0.051732898,44.40836872,0.319555943,0.319143604,0.318963927
